uniprot	protein_id	locus	scaffold	strand	exon	start_1based	end_1based	length
A0A1W0X5S1	OQV22896.1	BV898_03327	MTYJ01000015.1	+	1	724181	724402	222
A0A1W0X5S1	OQV22896.1	BV898_03327	MTYJ01000015.1	+	2	724978	725113	136
A0A1W0X5S1	OQV22896.1	BV898_03327	MTYJ01000015.1	+	3	725647	725726	80
A0A1W0X5S1	OQV22896.1	BV898_03327	MTYJ01000015.1	+	4	725933	726089	157
A0A1W0X5S1	OQV22896.1	BV898_03327	MTYJ01000015.1	+	5	726202	726293	92
A0A1W0X5S1	OQV22896.1	BV898_03327	MTYJ01000015.1	+	6	726351	726906	556
A0A1W0X5S1	OQV22896.1	BV898_03327	MTYJ01000015.1	+	7	726976	727004	29
A0A1W0X5M8	OQV22897.1	BV898_03327	MTYJ01000015.1	+	1	724181	724402	222
A0A1W0X5M8	OQV22897.1	BV898_03327	MTYJ01000015.1	+	2	724978	725113	136
A0A1W0X5M8	OQV22897.1	BV898_03327	MTYJ01000015.1	+	3	725647	725726	80
A0A1W0X5M8	OQV22897.1	BV898_03327	MTYJ01000015.1	+	4	725933	726104	172
A0A1W0X5M8	OQV22897.1	BV898_03327	MTYJ01000015.1	+	5	726202	726293	92
A0A1W0X5M8	OQV22897.1	BV898_03327	MTYJ01000015.1	+	6	726351	726906	556
A0A1W0X5M8	OQV22897.1	BV898_03327	MTYJ01000015.1	+	7	726976	727004	29
