query	target	query_label	target_label	status	evalue	bits	pident	nident	alnlen	mismatch	gapopen	qstart	qend	qlen	tstart	tend	tlen	qcov	tcov	cigar
O76075	O76075	human DFFB	human DFFB	reported	1.391E-229	701	100.000	338	338	0	0	1	338	338	1	338	338	1.000	1.000	338M
O76075	O54788	human DFFB	mouse DFFB	reported	2.087E-178	554	77.600	261	336	73	1	1	336	338	4	337	344	0.994	0.971	276M2I58M
O76075	A0A1W0WC24	human DFFB	WC24	reported	5.019E-60	211	36.200	115	317	187	6	8	312	338	8	321	361	0.902	0.870	37M3D17M1D24M3I5M5D78M2D111M1D30M
O76075	A0A9X6RM91	human DFFB	RM91	reported	2.009E-25	109	33.500	62	185	109	7	133	309	338	103	281	367	0.524	0.488	40M3I12M2D8M4D17M2I48M1I15M1D25M1D6M
O76075	A0A9X6RN34	human DFFB	RN34	reported	6.236E-06	48	23.800	50	210	131	8	129	310	338	228	436	514	0.538	0.407	19M5D25M3D30M1I25M8D9M1D24M5D19M3D3M3D27M
O76075	A0A9X6NI93	human DFFB	NI93	not reported under this search at E<=10																
O76075	A0A1W0X5S1	human DFFB	X5S1	not reported under this search at E<=10																
O76075	A0A1W0X6E7	human DFFB	X6E7	reported	1.460E+00	31	19.700	40	203	132	8	130	322	338	140	321	335	0.571	0.543	42M1D9M2D12M2D15M6I8M3D5M7I19M8I23M2D39M
O54788	O76075	mouse DFFB	human DFFB	reported	2.742E-178	554	77.600	261	336	73	1	4	337	344	1	336	338	0.971	0.994	276M2D58M
O54788	O54788	mouse DFFB	mouse DFFB	reported	7.689E-234	714	100.000	344	344	0	0	1	344	344	1	344	344	1.000	1.000	344M
O54788	A0A1W0WC24	mouse DFFB	WC24	reported	1.078E-61	216	39.100	124	317	176	7	11	313	344	8	321	361	0.881	0.870	32M1I4M4D17M1D33M2D74M4D11M2I97M3D32M
O54788	A0A9X6RM91	mouse DFFB	RM91	reported	6.126E-27	113	34.700	64	184	106	6	136	310	344	103	281	367	0.509	0.488	39M3I13M2D8M4D14M2I53M2D37M1D6M
O54788	A0A9X6RN34	mouse DFFB	RN34	not reported under this search at E<=10																
O54788	A0A9X6NI93	mouse DFFB	NI93	not reported under this search at E<=10																
O54788	A0A1W0X5S1	mouse DFFB	X5S1	not reported under this search at E<=10																
O54788	A0A1W0X6E7	mouse DFFB	X6E7	not reported under this search at E<=10																
A0A1W0WC24	O76075	WC24	human DFFB	reported	2.319E-60	213	36.200	115	317	187	6	8	321	361	8	312	338	0.870	0.902	37M3I17M1I24M3D5M5I78M2I111M1I30M
A0A1W0WC24	O54788	WC24	mouse DFFB	reported	8.602E-63	220	37.300	129	345	198	8	8	349	361	11	340	344	0.947	0.959	32M1D4M4I17M1I33M2I74M4I11M2D97M3I35M1I24M
A0A1W0WC24	A0A1W0WC24	WC24	WC24	reported	1.155E-242	740	100.000	361	361	0	0	1	361	361	1	361	361	1.000	1.000	361M
A0A1W0WC24	A0A9X6RM91	WC24	RM91	reported	3.254E-33	133	30.600	88	287	156	9	47	330	361	45	291	367	0.787	0.673	20M1D19M14I4M9I4M12I57M1D38M2I48M1I38M1D6M2I10M
A0A1W0WC24	A0A9X6RN34	WC24	RN34	not reported under this search at E<=10																
A0A1W0WC24	A0A9X6NI93	WC24	NI93	reported	8.320E-04	41	25.900	48	185	116	7	157	324	361	143	323	406	0.465	0.446	30M4I18M1D34M6D5M3D26M2D3M3D19M2D29M
A0A1W0WC24	A0A1W0X5S1	WC24	X5S1	not reported under this search at E<=10																
A0A1W0WC24	A0A1W0X6E7	WC24	X6E7	not reported under this search at E<=10																
A0A9X6RM91	O76075	RM91	human DFFB	reported	2.208E-23	103	33.500	62	185	109	7	103	281	367	133	309	338	0.488	0.524	40M3D12M2I8M4I17M2D48M1D15M1I25M1I6M
A0A9X6RM91	O54788	RM91	mouse DFFB	reported	7.755E-26	111	34.700	64	184	106	6	103	281	367	136	310	344	0.488	0.509	39M3D13M2I8M4I14M2D53M2I37M1I6M
A0A9X6RM91	A0A1W0WC24	RM91	WC24	reported	1.253E-32	131	29.900	86	287	158	9	45	291	367	47	330	361	0.673	0.787	20M1I17M14D6M1D10M20D51M1I38M2D48M1D38M1I6M2D10M
A0A9X6RM91	A0A9X6RM91	RM91	RM91	reported	1.063E-248	758	100.000	367	367	0	0	1	367	367	1	367	367	1.000	1.000	367M
A0A9X6RM91	A0A9X6RN34	RM91	RN34	not reported under this search at E<=10																
A0A9X6RM91	A0A9X6NI93	RM91	NI93	not reported under this search at E<=10																
A0A9X6RM91	A0A1W0X5S1	RM91	X5S1	reported	1.741E-01	34	24.800	54	217	122	8	97	288	367	202	402	423	0.523	0.475	49M10I26M2D8M2D13M5D24M3D5M5I16M13D24M1I11M
A0A9X6RM91	A0A1W0X6E7	RM91	X6E7	reported	3.044E-01	33	36.500	15	41	26	0	97	137	367	137	177	335	0.112	0.122	41M
A0A9X6RN34	O76075	RN34	human DFFB	reported	1.132E-04	45	23.800	50	210	131	8	228	436	514	129	310	338	0.407	0.538	19M5I25M3I30M1D25M8I9M1I24M5I19M3I3M3I27M
A0A9X6RN34	O54788	RN34	mouse DFFB	not reported under this search at E<=10																
A0A9X6RN34	A0A1W0WC24	RN34	WC24	not reported under this search at E<=10																
A0A9X6RN34	A0A9X6RM91	RN34	RM91	not reported under this search at E<=10																
A0A9X6RN34	A0A9X6RN34	RN34	RN34	reported	0.000E+00	1074	100.000	514	514	0	0	1	514	514	1	514	514	1.000	1.000	514M
A0A9X6RN34	A0A9X6NI93	RN34	NI93	reported	1.646E-13	74	25.400	68	267	180	8	212	477	514	107	355	406	0.518	0.613	26M6I9M3I31M1I52M1I16M1D40M3I35M3I27M1I12M
A0A9X6RN34	A0A1W0X5S1	RN34	X5S1	not reported under this search at E<=10																
A0A9X6RN34	A0A1W0X6E7	RN34	X6E7	not reported under this search at E<=10																
A0A9X6NI93	O76075	NI93	human DFFB	not reported under this search at E<=10																
A0A9X6NI93	O54788	NI93	mouse DFFB	not reported under this search at E<=10																
A0A9X6NI93	A0A1W0WC24	NI93	WC24	not reported under this search at E<=10																
A0A9X6NI93	A0A9X6RM91	NI93	RM91	not reported under this search at E<=10																
